dataset,method,task,n_samples,mean_score,std_score,mean_train_time,mean_disagreement,std_disagreement,prediction_variance,prediction_std
synth_classification_easy,CART,classification,500,0.8546666666666667,0.018571184369578827,0.0008137226104736328,0.38666666666666666,0.029514591494904877,,
synth_classification_easy,LessGreedyHybridTree,classification,500,0.8300000000000001,0.03255764119219942,0.5960201501846314,0.386,0.03482655436429059,,
synth_classification_easy,BootstrapVariancePenalizedTree,classification,500,0.78,0.042998707990925596,0.15377471446990967,0.388,0.041611964091539305,,
synth_classification_easy,RobustPrefixHonestTree,classification,500,0.8100000000000002,0.03073181485764296,0.31077141761779786,0.38466666666666666,0.04227423696663385,,
synth_classification_easy,CentroidTree-CART-10,classification,500,0.8460000000000001,0.031191166840772236,0.00787351131439209,0.37,0.04133870932780665,,
synth_classification_easy,CentroidTree-LessGreedy-10,classification,500,0.8306666666666667,0.028000000000000004,4.611128115653992,0.38666666666666666,0.02422120283277994,,
synth_classification_easy,CentroidTree-CART-20,classification,500,0.844,0.03227658249842721,0.01506025791168213,0.37066666666666664,0.039009970235540786,,
synth_classification_easy,CentroidTree-LessGreedy-20,classification,500,0.8300000000000001,0.026708300832013514,11.73033607006073,0.39,0.028480012484391776,,
synth_classification_easy,RandomForest-20,classification,500,0.8893333333333333,0.030140412147886184,0.0139631986618042,0.37733333333333335,0.0350491718082531,,
synth_classification_hard,CART,classification,500,0.7479999999999999,0.0330386978489703,0.001641225814819336,0.376,0.03979949748426481,,
synth_classification_hard,LessGreedyHybridTree,classification,500,0.6673333333333333,0.03693237062523877,1.8465709209442138,0.30333333333333334,0.08370583412562513,,
synth_classification_hard,BootstrapVariancePenalizedTree,classification,500,0.6673333333333333,0.05509184250967752,0.31285834312438965,0.3553333333333334,0.07978025375297379,,
synth_classification_hard,RobustPrefixHonestTree,classification,500,0.7053333333333333,0.03052139504602557,0.4983875513076782,0.36133333333333334,0.05908938614976089,,
synth_classification_hard,CentroidTree-CART-10,classification,500,0.732,0.03562770457569968,0.013896560668945313,0.37866666666666665,0.026297443897754687,,
synth_classification_hard,CentroidTree-LessGreedy-10,classification,500,0.6759999999999999,0.046207262536435874,14.589108204841613,0.272,0.0821813712332532,,
synth_classification_hard,CentroidTree-CART-20,classification,500,0.728,0.036854066562894,0.0358060359954834,0.37466666666666665,0.02872087897138402,,
synth_classification_hard,CentroidTree-LessGreedy-20,classification,500,0.6759999999999999,0.048552377216088315,30.64032373428345,0.3186666666666667,0.10301240486249973,,
synth_classification_hard,RandomForest-20,classification,500,0.784,0.03832028763519977,0.017656636238098145,0.368,0.030228757463345697,,
synth_regression_friedman,CART,regression,500,0.5818596199005146,0.0817058937599105,0.0017319679260253905,,,3401.16465784086,58.31950495195291
synth_regression_friedman,LessGreedyHybridTree,regression,500,0.510885769890535,0.08286775012298003,0.048609256744384766,,,2274.6270827699122,47.693050675857506
synth_regression_friedman,BootstrapVariancePenalizedTree,regression,500,0.3678527821589669,0.06665713324748172,0.3105244398117065,,,1741.367002909213,41.72968970540295
synth_regression_friedman,RobustPrefixHonestTree,regression,500,0.46416252677547787,0.06588499664410892,0.760906434059143,,,2104.9059049976627,45.879253535750365
synth_regression_friedman,CentroidTree-CART-10,regression,500,0.5760244833326595,0.056051848190057575,0.017008376121520997,,,3320.6119331920836,57.62475104668204
synth_regression_friedman,CentroidTree-LessGreedy-10,regression,500,0.47168976081981173,0.10487791783272682,0.4907024145126343,,,1693.5758711901067,41.1530785141295
synth_regression_friedman,CentroidTree-CART-20,regression,500,0.5761401284836178,0.04751953895047759,0.028875851631164552,,,3393.5280469943887,58.25399597447705
synth_regression_friedman,CentroidTree-LessGreedy-20,regression,500,0.4415216647008367,0.08742615902539645,1.135716700553894,,,1732.0241187730128,41.61759386092633
synth_regression_friedman,RandomForest-20,regression,500,0.8156647832739463,0.013036248771226772,0.034382295608520505,,,2362.6147979845346,48.60673613795247
